,final objective value,first objective value,final shared job order,final schedule,time,,Lower Bound
35,138.8359561,180.0371265,"[4, 5, 1, 2, 3]","[[4, 5, 1, 2, 3, 'M'], [4, 5, 'M', 1, 2, 3], ['M', 2, 3], ['M'], ['M'], [4, 5, 1, 'M'], [1, 'M'], ['M', 4, 5, 2, 3]]",44.80186248,,
36,344.5263819,542.4740502,"[3, 5, 4, 1, 6, 7, 8, 2, 9]","[[3, 5, 6, 7, 2, 9, 'M'], [4, 1, 8, 'M'], ['M', 1, 2], [5, 4, 'M', 8], [3, 'M', 6, 7], [9, 'M'], ['M', 3, 4, 7, 2, 9], ['M', 5, 1, 6, 8]]",51.04895926,,
37,440.7641844,552.3741187,"[8, 7, 9, 6, 4, 3, 2, 5, 1, 10]","[[6, 'M', 2, 10], [8, 9, 4, 3, 'M'], [7, 5, 1, 'M'], ['M', 8, 7, 9, 6, 4, 3, 2, 5, 1, 10], [8, 7, 9, 6, 4, 3, 2, 5, 1, 10, 'M']]",49.41690063,,
38,392.3067565,537.3051785,"[5, 2, 3, 1, 6, 4]","[[5, 2, 1, 6, 4, 'M'], ['M'], [3, 'M'], [5, 1, 6, 4, 'M'], [2, 'M'], [3, 'M'], ['M', 5, 2, 3, 1, 6, 4], [2, 'M', 4], [5, 'M', 3, 1, 6], [5, 2, 1, 'M'], ['M', 3, 6], ['M', 4]]",53.31316185,,
39,151.1455144,214.8054087,"[5, 1, 3, 2, 4]","[[5, 1, 2, 'M'], ['M'], ['M'], [3, 4, 'M'], [4, 'M'], [2, 'M'], ['M', 3], [5, 1, 'M'], [5, 1, 'M'], [2, 'M'], ['M', 3, 4]]",33.63537645,,
40,465.8164175,548.3179373,"[2, 6, 9, 5, 3, 4, 1, 8, 7]","[['M'], [5, 'M'], [6, 9, 3, 'M', 7], [2, 4, 1, 8, 'M'], [2, 6, 9, 5, 3, 4, 1, 8, 7, 'M'], [6, 3, 'M'], ['M', 1], ['M', 2, 9, 5, 8], [4, 'M', 7], [2, 'M', 9, 4, 1], [6, 'M', 3, 8], [5, 'M', 7]]",67.44604492,,
41,904.7912963,1148.044999,"[6, 8, 1, 9, 2, 4, 7, 3, 5]","[[6, 8, 7, 3, 'M'], [1, 9, 2, 4, 5, 'M'], [8, 2, 7, 3, 'M'], ['M'], [6, 1, 9, 4, 'M', 5], [6, 1, 9, 'M', 4, 5], [8, 'M', 2, 7, 3], [6, 'M', 1, 9, 2, 4, 7], [8, 3, 5, 'M'], [6, 8, 1, 9, 2, 4, 7, 3, 5, 'M']]",70.23093867,,
42,349.2989826,402.2841331,"[1, 5, 2, 3, 4]","[[5, 3, 'M'], [1, 'M'], [4, 'M'], [2, 'M'], ['M'], [2, 3, 'M', 4], ['M'], [1, 5, 'M'], ['M'], [1, 'M'], [5, 3, 4, 'M'], [2, 'M'], [1, 5, 2, 3, 4, 'M'], ['M', 2, 4], ['M', 1, 5, 3]]",51.03971124,,
43,355.7010322,524.4154504,"[7, 8, 1, 6, 2, 5, 4, 3]","[[1, 6, 3, 'M'], [8, 'M', 5, 4], [7, 2, 'M'], ['M', 8, 6, 2, 5], [7, 1, 'M', 4, 3], [8, 4, 'M'], [7, 3, 'M'], ['M', 1, 2], [6, 5, 'M']]",45.9338572,,
44,225.3774671,298.0644981,"[1, 3, 4, 5, 2]","[[1, 5, 2, 'M'], [3, 4, 'M'], [3, 'M'], [1, 4, 5, 2, 'M'], ['M', 1, 3, 4, 5, 2], [3, 'M', 2], ['M', 5], [1, 4, 'M'], ['M']]",39.1166966,,
45,487.004546,665.8440119,"[1, 9, 8, 3, 5, 2, 6, 7, 4]","[[1, 'M', 3, 5, 2, 7], [9, 8, 6, 4, 'M'], ['M', 1, 9, 8, 3, 5, 2, 6, 7, 4], [9, 3, 'M', 6], [1, 8, 5, 2, 7, 4, 'M'], ['M', 8, 5, 2], [1, 9, 3, 6, 7, 4, 'M']]",51.92922354,,
46,230.9646638,271.1183796,"[1, 2, 4, 3, 5]","[['M'], ['M'], [1, 4, 3, 'M'], [2, 'M', 5], [1, 3, 'M'], ['M'], [2, 4, 'M', 5], ['M', 1, 2, 4, 3, 5]]",31.42872119,,
47,313.3579411,452.0302255,"[2, 4, 8, 6, 3, 7, 1, 5]","[[8, 3, 1, 5, 'M'], [2, 4, 6, 7, 'M'], ['M', 2, 4, 8, 6, 3, 7, 1, 5], ['M', 1], ['M', 4, 6, 7, 5], [2, 'M', 8, 3]]",42.13965178,,
48,476.6136358,655.0923367,"[1, 9, 3, 2, 5, 6, 7, 4, 8]","[[9, 3, 6, 7, 4, 'M'], [1, 2, 5, 8, 'M'], ['M', 3, 6, 7, 4], [2, 5, 8, 'M'], [1, 9, 'M'], [2, 5, 7, 'M'], [1, 3, 8, 'M'], ['M', 9, 6, 4]]",44.62968183,,
49,719.2304201,944.4680008,"[6, 5, 9, 1, 4, 7, 8, 2, 3]","[['M', 4, 7, 8, 3], [6, 5, 9, 1, 2, 'M'], [9, 4, 7, 'M'], [6, 5, 1, 8, 'M', 2, 3], ['M', 6, 5, 9, 1, 4, 7, 8, 2, 3], [8, 2, 'M'], [9, 'M', 4], [6, 'M', 1, 7], [5, 3, 'M'], [9, 1, 'M'], ['M', 4], ['M', 3], [6, 5, 'M', 7, 8, 2]]",79.09595275,,
